lemma,kind,level,category,translation_zh,keep,review_note
tener que,collocation,A1,verb_collocation,必须,1,
ir a,collocation,A1,verb_collocation,将要,1,
hay que,collocation,A1,verb_collocation,必须（无人称）,1,
acabar de,collocation,A1,verb_collocation,刚刚,1,
poder,collocation,A1,verb_collocation,能够,1,
querer,collocation,A1,verb_collocation,想要,1,REVIEW: 与 tener ganas de 同译
deber,collocation,A1,verb_collocation,应该,1,
soler,collocation,A1,verb_collocation,通常,1,
volver a,collocation,A1,verb_collocation,再次,1,
empezar a,collocation,A1,verb_collocation,开始,1,
terminar de,collocation,A1,verb_collocation,结束,1,REVIEW: 与 poner fin 同译
dejar de,collocation,A1,verb_collocation,停止,1,
tratar de,collocation,A1,verb_collocation,试图,1,
necesitar,collocation,A1,verb_collocation,需要,1,REVIEW: 与 hacer falta 同译
gustar,collocation,A1,verb_collocation,喜欢,1,
encantar,collocation,A1,verb_collocation,非常喜欢,1,
interesar,collocation,A1,verb_collocation,感兴趣,1,
importar,collocation,A1,verb_collocation,在意,1,
parecer,collocation,A1,verb_collocation,看起来,1,
costar,collocation,A1,verb_collocation,花费,1,
quedar,collocation,A1,verb_collocation,剩下/约定,1,
faltar,collocation,A1,verb_collocation,缺少,1,
sobrar,collocation,A1,verb_collocation,多余,1,
doler,collocation,A1,verb_collocation,疼痛,1,
hacer falta,collocation,A1,verb_collocation,需要,1,REVIEW: 与 necesitar 同译
tener ganas de,collocation,A1,verb_collocation,想要,1,REVIEW: 与 querer 同译
tener prisa,collocation,A1,verb_collocation,匆忙,1,
tener razón,collocation,A1,verb_collocation,有道理,1,REVIEW: 与 llevar razón 同译
tener cuidado,collocation,A1,verb_collocation,小心,1,
tener éxito,collocation,A1,verb_collocation,成功,1,
tener hambre,collocation,A1,verb_collocation,饿,1,
tener sed,collocation,A1,verb_collocation,渴,1,
tener sueño,collocation,A1,verb_collocation,困,1,
tener frío,collocation,A1,verb_collocation,冷,1,
tener calor,collocation,A1,verb_collocation,热,1,
tener miedo,collocation,A1,verb_collocation,害怕,1,"REVIEW: 与 dar miedo, tener miedo de 同译"
